hex_id,value,is_true,float_value,empty,time
89283082c2fffff,64,true,64.1,,11/1/17 11:00
8928308288fffff,73,true,73.1,,11/1/17 11:00
89283082c07ffff,65,true,65.1,,11/1/17 11:00
89283082817ffff,74,true,74.1,,11/1/17 11:00
89283082c3bffff,66,true,66.1,,11/1/17 11:00
89283082883ffff,76,true,76.1,,11/1/17 11:00
89283082c03ffff,60,true,60.1,,11/1/17 11:00
89283082807ffff,68,true,68.1,,11/1/17 10:00
8928308289bffff,49,true,49.1,,11/1/17 11:00
89283082c0fffff,41,true,41.1,,11/1/17 11:00
89283082c87ffff,50,true,50.1,,11/1/17 11:00
89283082d4fffff,45,true,45.1,,11/1/17 11:00
89283082c77ffff,41,true,41.1,,11/1/17 11:00
89283082c2bffff,53,true,53.1,,11/1/17 11:00
89283082803ffff,41,true,41.1,,11/1/17 11:00
89283082813ffff,43,true,43.1,,11/1/17 11:00
89283082d5bffff,45,true,45.1,,11/1/17 11:00
89283082897ffff,40,true,40.1,,11/1/17 11:00
89283082c67ffff,42,true,42.1,,11/1/17 11:00
89283082d47ffff,51,true,51.1,,11/1/17 11:00
89283082dc3ffff,52,true,52.1,,11/1/17 11:00
89283082c33ffff,43,true,43.1,,11/1/17 11:00
89283082c23ffff,40,true,40.1,,11/1/17 11:00
89283082887ffff,36,true,36.1,,11/1/17 11:00
89283082d4bffff,36,true,36.1,,11/1/17 11:00
892830828bbffff,48,true,48.1,,11/1/17 11:00
892830828b7ffff,28,true,28.1,,11/1/17 11:00
89283082c17ffff,34,true,34.1,,11/1/17 11:00
89283082c6fffff,21,true,21.1,,11/1/17 12:00
8928308288bffff,25,true,25.1,,11/1/17 11:00
892830828abffff,26,true,26.1,,11/1/17 11:00
89283082c27ffff,27,true,27.1,,11/1/17 11:00
89283082c8fffff,33,true,33.1,,11/1/17 11:00
89283082cafffff,29,true,29.1,,11/1/17 11:00
89283082c13ffff,27,true,27.1,,11/1/17 11:00
89283082cabffff,22,true,22.1,,11/1/17 11:00
89283082c63ffff,26,true,26.1,,11/1/17 11:00
89283082d43ffff,30,true,30.1,,11/1/17 11:00
89283082d53ffff,19,true,19.1,,11/1/17 11:00
892830828a3ffff,28,false,28.1,,11/1/17 11:00
89283082d1bffff,20,false,20.1,,11/1/17 11:00
89283095367ffff,17,false,17.1,,11/1/17 11:00
8928309536bffff,26,false,26.1,,11/1/17 11:00
89283082c37ffff,16,false,16.1,,11/1/17 11:00
89283082c73ffff,17,false,17.1,,11/1/17 11:00
89283082c8bffff,15,false,15.1,,11/1/17 11:00
89283082ca7ffff,27,false,27.1,,11/1/17 11:00
89283082cb3ffff,32,false,32.1,,11/1/17 11:00
89283082c0bffff,26,false,26.1,,11/1/17 11:00
89283082ca3ffff,19,false,19.1,,11/1/17 11:00
89283082dcfffff,18,false,18.1,,11/1/17 11:00
89283082c1bffff,20,false,20.1,,11/1/17 15:00
89283082ddbffff,18,false,18.1,,11/1/17 11:00
8928309534fffff,16,false,16.1,,11/1/17 11:00
89283082d03ffff,15,false,15.1,,11/1/17 11:00
89283082cbbffff,21,false,21.1,,11/1/17 11:00
89283082cd7ffff,9,true,9.1,,11/1/17 11:00
8928309534bffff,9,true,9.1,,11/1/17 11:00
892830828c7ffff,13,true,13.1,,11/1/17 11:00
89283082cc7ffff,12,true,12.1,,11/1/17 11:00
89283082d0bffff,19,true,19.1,,11/1/17 11:00
89283082dcbffff,19,true,19.1,,11/1/17 11:00
89283082dd3ffff,15,true,15.1,,11/1/17 11:00
89283082dd7ffff,15,true,15.1,,11/1/17 11:00
892830828d7ffff,13,true,13.1,,11/1/17 11:00
89283082d17ffff,5,true,5.1,,11/1/17 11:00
8928309536fffff,8,true,8.1,,11/1/17 11:00
89283095373ffff,6,true,6.1,,11/1/17 11:00
89283082cb7ffff,15,true,15.1,,11/1/17 11:00
89283082d83ffff,9,true,9.1,,11/1/17 11:00
89283082d07ffff,4,true,4.1,,11/1/17 11:00
89283082d0fffff,3,true,3.1,,11/1/17 11:00
89283082d13ffff,6,true,6.1,,11/1/17 11:00
89283082d9bffff,5,true,5.1,,11/1/17 11:00
89283082c83ffff,11,true,11.1,,11/1/17 11:00
89283082d8bffff,4,true,4.1,,11/1/17 11:00
89283082dc7ffff,5,true,5.1,,11/1/17 11:00
89283095377ffff,5,true,5.1,,11/1/17 11:00
89283082c97ffff,4,true,4.1,,11/1/17 11:00
89283082d7bffff,2,true,2.1,,11/1/17 11:00
89283082d8fffff,1,true,1.1,,11/1/17 11:00
89283095347ffff,3,true,3.1,,11/1/17 11:00
89283095363ffff,2,true,2.1,,11/1/17 11:00
8928309537bffff,4,true,4.1,,11/1/17 11:00
89283082d93ffff,6,true,6.1,,11/1/17 11:00
89283082d73ffff,1,true,1.1,,11/1/17 13:00
8928309530bffff,1,true,1.1,,11/1/17 11:00
8928309532bffff,1,true,1.1,,11/1/17 11:00